reviewid,userId,movieId,rating,timestamp
215,610,1,5,1479542900
535,610,6,5,1493850345
955,610,16,4.5,1479542171
1679,610,32,4.5,1479543331
2310,610,47,5,1479545853
2583,610,50,4,1493844757
2914,610,70,4,1495959282
3179,610,95,3.5,1479542004
3624,610,110,4.5,1479545829
3728,610,111,5,1479542162
3774,610,112,4,1479542315
4437,610,153,3,1479544720
4545,610,159,3.5,1493850536
5521,610,194,5,1479544506
5853,610,215,5,1479542540
6325,610,231,4,1479544262
7104,610,260,5,1479543007
7857,610,293,5,1479542783
8167,610,296,5,1479545817
8291,610,303,3,1479542688
8969,610,318,3,1479541963
8989,610,319,3.5,1479542096
9057,610,328,3.5,1495959299
9185,610,332,3,1479543131
9643,610,344,3,1479544704
10348,610,356,3,1493844769
10867,610,367,3.5,1479544707
11290,610,377,5,1479545866
11496,610,380,5,1479544108
11593,610,407,5,1479543099
11695,610,412,2,1479542198
12332,610,441,5,1479542827
12797,610,457,4.5,1479545836
12825,610,464,4,1479542014
12954,610,471,4,1479544381
13323,610,480,5,1479545821
13988,610,519,2,1479545235
14326,610,527,3.5,1479545826
14731,610,541,5,1493850255
15875,610,589,5,1479542983
16228,610,592,4.5,1479545848
16507,610,593,4.5,1479545819
17133,610,608,4.5,1479542933
18006,610,714,3.5,1479544443
18254,610,735,4.5,1495959067
18424,610,741,4.5,1493846678
18634,610,750,4.5,1479542905
18828,610,778,5,1479542077
19032,610,780,3.5,1479545838
19148,610,784,5,1479544723
19190,610,785,4,1479544281
19782,610,849,3,1479543092
20023,610,858,5,1479545844
20329,610,903,5,1479542931
20413,610,904,5,1493850276
20520,610,909,4.5,1494273054
20683,610,912,3.5,1493850323
20922,610,919,3.5,1493850305
21072,610,923,4,1479542942
21181,610,924,4.5,1493850330
21538,610,968,4,1495959070
22407,610,1036,5,1493850224
22527,610,1047,4.5,1479545257
22558,610,1054,2,1493850563
23019,610,1080,4,1479543344
23078,610,1084,4,1493850342
23278,610,1089,5,1479542947
23341,610,1090,4,1493850277
23635,610,1097,4.5,1479542978
23926,610,1127,4,1479544102
23931,610,1128,3.5,1479543110
23970,610,1129,4,1479543081
24143,610,1136,5,1479543327
24854,610,1196,5,1479544565
24996,610,1197,4.5,1493850231
25196,610,1198,5,1479545833
25255,610,1199,4.5,1479543333
25381,610,1200,5,1479544099
25453,610,1201,5,1479542951
25847,610,1208,5,1479542936
25865,610,1209,5,1479544789
26061,610,1210,5,1479544574
26224,610,1213,5,1479542160
26370,610,1214,4.5,1493850227
26421,610,1215,4.5,1479542660
26458,610,1218,5,1479542012
26754,610,1221,5,1479542899
26856,610,1222,4.5,1479542976
27001,610,1227,4,1479544796
27041,610,1228,5,1479542176
27099,610,1230,3,1493850321
27420,610,1240,5,1479544100
27430,610,1241,5,1479543018
27540,610,1245,5,1479544368
27705,610,1247,5,1493850326
27757,610,1249,4,1479542791
27922,610,1255,4.5,1495959059
28081,610,1258,5,1479543008
28221,610,1261,5,1479542662
28455,610,1265,4.5,1493850236
28739,610,1270,5,1479542897
28813,610,1273,5,1479544457
28852,610,1274,5,1493846688
28957,610,1276,4.5,1493850248
29046,610,1279,5,1479544459
29142,610,1283,3,1493850282
29465,610,1291,4.5,1493850234
29620,610,1300,4.5,1479544749
30101,610,1343,3.5,1479542179
30406,610,1358,4.5,1479544446
31392,610,1394,5,1479544403
31701,610,1429,3.5,1479542354
31833,610,1454,3.5,1479542848
32115,610,1485,3,1479544711
32523,610,1527,4.5,1479542785
32918,610,1573,3.5,1479541990
34192,610,1658,2.5,1479542110
34231,610,1663,4.5,1493850268
34428,610,1676,5,1479545766
34597,610,1682,5,1479543017
35131,610,1721,3,1479544112
35245,610,1730,2,1479542215
35355,610,1732,4.5,1479544321
35728,610,1784,4,1479545229
35973,610,1840,4,1493850532
36024,610,1858,3,1479542357
36220,610,1884,5,1479543337
36782,610,1923,5,1479544264
37002,610,1953,5,1493850274
37375,610,1967,5,1493879438
37488,610,1968,4,1493850238
37602,610,1982,4.5,1479543071
37747,610,1997,4,1479543021
37830,610,2000,5,1479545248
38517,610,2022,3.5,1479542193
38772,610,2028,5,1479545856
39192,610,2076,5,1493850307
40303,610,2140,3.5,1493879453
40344,610,2143,3.5,1493879455
40599,610,2161,4,1493879450
41413,610,2273,3,1479542268
41533,610,2288,5,1479542921
42121,610,2328,3,1479543112
42257,610,2332,1.5,1493849039
42607,610,2355,3.5,1493846606
42985,610,2391,4,1479542677
43279,610,2403,4.5,1493850303
44008,610,2459,3.5,1495959405
44174,610,2474,4,1479542196
44543,610,2517,4,1479543097
45292,610,2571,5,1479545822
45947,610,2628,3,1493879393
46857,610,2702,3.5,1493850529
47243,610,2716,5,1479542992
47861,610,2762,4.5,1479545862
48127,610,2791,3.5,1493850258
48847,610,2858,3.5,1479545841
49004,610,2879,4,1479542377
49010,610,2880,4,1479542359
49129,610,2901,4,1495959241
49336,610,2916,5,1479545761
49455,610,2918,3.5,1493850245
49489,610,2924,5,1479542328
49604,610,2944,4,1493850338
49786,610,2951,4.5,1479544792
50053,610,2959,5,1479541966
50121,610,2968,5,1493879465
50159,610,2976,4,1479542190
50239,610,2985,5,1479545763
50719,610,3016,4.5,1495959190
50733,610,3018,4,1495959018
50867,610,3033,3.5,1493879404
50989,610,3039,4.5,1493850239
51455,610,3089,3,1479544786
51686,610,3108,4.5,1479543364
51807,610,3114,5,1479542923
51981,610,3147,2.5,1479544627
52240,610,3174,4,1479544738
52678,610,3246,5,1493850526
53091,610,3265,5,1479542010
53219,610,3273,3,1493848104
53312,610,3285,3.5,1479542089
53351,610,3298,4,1493845268
53393,610,3300,4,1493845462
53539,610,3328,5,1479544451
53733,610,3362,5,1479543004
54062,610,3409,3,1493848108
54180,610,3421,3,1493850241
54186,610,3422,3,1493850545
54189,610,3423,3,1493850561
54216,610,3424,5,1493850523
54221,610,3425,4.5,1493850555
54459,610,3452,3,1493846086
54533,610,3468,5,1493850261
54751,610,3481,4,1493845036
